Status,Title,IPC,Application Number,Application Date,Applicant,Holder,Citations,Abstract
등록,머신러닝 모형 기반 화학물질의 자동 분류 방법 및 코딩 시스템(Machine learning model based automatic classification method and coding system for chemicals),"G06N 5/04, G06N 3/08, G06N 20/20, G06N 20/10",N/A,N/A,1020220017090 (2022.02.09),N/A,N/A,"본 발명의 일 실시예에 따른 머신러닝 모형 기반 화학물질의 자동 분류 방법은, 학습용 DB 구성부가 화학물질 데이터베이스로부터 화학물질의 물질명이 포함된 화학물질 데이터를 수신하고, 상기 화학물질 데이터로부터 인공지능 학습 데이터를 추출하는 제1 단계; 상기 학습용 DB 구성부가 학습용 DB에 상기 인공지능 학습 데이터를 저장시켜 상기 학습용 DB를 구성하는 제2 단계; 알고리즘 학습부가 상기 인공지능 학습 데이터로부터 화학물질 구조를 수집하는 제1 머신러닝 알고리즘을 학습시키고, 상기 화학물질 구조를 이루는 각 화학물질에 대해 정량화된 독립변수 셋을 데이터셋 설정부로부터 수신한 후에 상기 각 화학물질에 상기 독립변수 셋의 독립변수를 적용시켜 상기 각 화학물질의 화학물질군을 분류하는 제2 머신러닝 알고리즘을 학습시키는 제3 단계; 인공지능모델 생성부가 상기 제1 머신러닝 알고리즘 기반의 제1 인공지능모델과 상기 제2 머신러닝 알고리즘 기반의 제2 인공지능모델을 생성하는 제4 단계; 성능 평가부가 상기 제2 인공지능모델의 화학물질군 분류 정확도를 기반으로 상기 제2 인공지능모델의 성능을 평가하는 제5 단계; 및 상기 제2 인공지능모델이 업로드되는 미지(Unknown) 데이터로부터 종속변수인 화학물질군을 자동 분류하는 제6 단계;를 포함할 수 있다."
거절,머신러닝용 데이터 수집 방법 및 그 장치(Method and device for collecting data for machine learning),"G06N 5/02, G06N 20/00",N/A,N/A,1020210163623 (2021.11.24),N/A,N/A,"머신러닝용 데이터 수집 방법 및 그 장치가 개시된다. 데이터수집장치는 스크랩핑 또는 크롤링을 이용하여 인터넷에 공개된 데이터를 수집하고, 수집한 데이터에서 기 정의된 개인정보를 비식별화 또는 제외하고, 수집한 데이터를 내부조인 또는 외부조인을 이용하여 통합하고, 통합된 데이터를 머신러닝에 적합한 데이터 포맷으로 변환하여 머신러닝 시스템에 저장한다."
공개,머신러닝 기반 방송 정보를 제공하는 방법 및 그 장치(METHOD AND APPARATUS FOR PROVIDING BROADCASTING INFORMATION BASED ON MACHINE LEARNING),"H04H 60/44, H04H 60/49, H04H 20/62, H04H 60/32",N/A,N/A,1020210113013 (2021.08.26),N/A,N/A,"실시예에 따른 복수의 차량 단말과 연동하여 동작하는 차량 서버는 복수의 차량 단말로부터 수신한 위치 정보 별로 상기 위치 정보에서 서비스되는 방송 채널의 방송국명을 수집하여 빅데이터를 구축하는 단계, 그리고 머신러닝 기반 빅데이터 분석을 통해 상기 위치 정보와 상기 방송국명 간의 연관 관계를 학습하여 차량 단말의 위치 정보에 대응하는 방송국명을 추정하는 방송국명 추정 모델을 생성하는 단계를 포함한다."
공개,머신러닝 예측모델 운영 자동화 방법 및 그 시스템(Method for automatically operating machine learning predictive model and system therefor),"G06N 20/20, G06Q 10/06",N/A,N/A,1020210163625 (2021.11.24),N/A,N/A,"머신러닝 예측모델 운영 자동화 방법 및 그 시스템이 개시된다. 예측모델운영자도화시스템은 클라우드시스템의 예측운영서버에 사용자의 예측모델을 탑재하고, 예측모델의 학습에 사용된 과거 학습데이터와 신규 학습데이터의 유사도를 비교하여, 유사도가 기 설정된 기준값 미만이면 예측모델을 신규 학습데이터를 이용하여 재학습시킨다."
등록,VNIR 스펙트럼과 머신러닝 기반 국내 유채 품종 판별 방법 및 시스템(Method and system for identification of domestic B. napus varieties using VNIR spectrum based on machine learning),"G06Q 50/02, G06Q 50/10, G06N 20/00, G01N 21/359, A01H 6/20",N/A,N/A,1020210182688 (2021.12.20),N/A,N/A,"본 발명은 VNIR 스펙트럼과 머신러닝 기반 국내 유채 품종 판별 방법 및 시스템에 관한 것으로, 본 발명에 따른 VNIR 스펙트럼과 머신러닝 기반 국내 유채 품종 판별 방법은, 데이터 수집부가 근적외선 분광분석기를 사용하여 유채 식물체의 가시광선 및 근적외선 대역의 스펙트럼을 측정한 결과로 구성되는 데이터를 수집하는 데이터 수집 단계; 데이터 전처리부가 상기 측정된 스펙트럼의 데이터를 전처리하는 데이터 전처리 단계; 및 데이터마이닝부가 머신러닝 알고리즘을 이용하여 상기 전처리된 스펙트럼의 데이터를 분석하여 상기 유채 식물체의 외래종 및 국내품종을 판별하는 데이터마이닝단계;를 포함하여 구성된다."
공개,머신러닝 기반 임신성 당뇨 예측 장치 및 그 방법(Apparatus and method for prediction of gestational diabetes based on machine learning),"G16H 50/20, G16H 10/60, G06N 20/20, A61B 5/145, A61B 5/00",N/A,N/A,1020220183464 (2022.12.23),N/A,N/A,"본 발명은 머신러닝 기반 임신성 당뇨 예측 장치 및 방법을 제공하기 위한 것으로, 임신성 당뇨의 예측을 위한 특징지표의 정보를 전달받아 전처리를 수행하는 임신성 당뇨 예측용 데이터 전처리부(10)와; 상기 임신성 당뇨 예측용 데이터 전처리부(10)에서 전처리한 특징지표의 데이터에 대해 의사결정트리 머신러닝 모델을 이용하여 적합한 예측모델을 설정하는 머신러닝 예측모델 설정부(20)와; 상기 머신러닝 예측모델 설정부(20)에서 설정한 의사결정트리 머신러닝 모델을 이용하여 임신성 당뇨의 발생가능성을 예측하는 머신러닝 임신성 당뇨 예측부(30)와; 상기 머신러닝 임신성 당뇨 예측부(30)의 결과에 대해 성능 평가를 수행하는 예측모델 성능 평가부(40);를 포함하여 구성함으로서, 임상 현장에서 획득할 수 있는 임신성 당뇨의 특징지표를 적용하고, 머신러닝의 트리 계열 모델 중에서 GBM을 구현한 XGBoost와 같은 의사결정트리 머신러닝을 이용하여 임신성 당뇨를 예측할 수 있다."
등록,클라우드 기반의 머신러닝 플랫폼과 사전정의 모델을 활용한 엔지니어링 데이터 관리 및 분석 장치(ENGINEERING DATA MANAGEMENT AND ANALYSIS DEVICES USING MACHINE LEARNING FLATFORM AND PRE-DEFINED MODELS PROVIDED ON THE CLOUD),"G06Q 10/04, G06Q 10/06, G06N 20/00",N/A,N/A,1020200154618 (2020.11.18),N/A,N/A,"클라우드 기반의 머신러닝 플랫폼과 사전정의 모델을 활용한 엔지니어링 데이터 관리 및 분석 장치에 관한 것이며, 클라우드 기반의 머신러닝 플랫폼과 사전정의 모델을 활용한 엔지니어링 데이터 관리 및 분석 장치는 엔지니어링 프로젝트 단계 전주기에서 발생하는 ITB 문서를 분석하여 리스크 영향도를 평가하는 ITB 분석부, 상기 엔지니어링 프로젝트 단계에서 발생하는 복수의 설계 데이터를 인공지능 기반의 제1사전정의 모델에 적용하여 설계 데이터에 관련된 분석을 수행하는 설계 과정 분석부 및 상기 엔지니어링 프로젝트 단계에서 발생하는 O0026#M 데이터를 인공지능 기반의 제2 사전정의 모델에 적용하여 수요 예측 분석을 수행하는 O0026#M 분석부를 포함할 수 있다."
거절,머신러닝 기반 보험가입자 특성 분석 장치 및 방법(MACHINE LEARNING-BASED INSURANCE POLICYHOLDER CHARACTERISTIC ANALYSIS DEVICE AND METHOD),"G06Q 40/08, G06N 20/00",N/A,N/A,1020210077380 (2021.06.15),N/A,N/A,"머신러닝 기반 보험가입자 특성 분석 장치에 관한 것으로, 머신러닝 기반 보험가입자 특성 분석 장치는, 기존의 보험 가입자 데이터를 이용하여 보험 심사 관련 특질 변수를 추출하고, 인공신경망에 적용 가능하도록 보험 가입자 데이터의 전처리를 수행하는 데이터 전처리부, 인공신경망에 전처리된 상기 보험 가입자 데이터를 적용하고, 보험 가입자 데이터의 특징을 고려하여 차원 축소하는 차원 축소부, 상기 인공신경망의 출력 결과를 기반으로 유사 보험 가입자 집단을 군집화하는 클러스터링부 및 상기 클러스터링부에서 군집화된 유사 보험 가입자 집단을 기반으로 보험 가입자의 패턴을 탐지하는 패턴 탐지부를 포함할 수 있다."
공개,머신러닝 모델을 이용한 임플란트의 보철 옵션 결정 장치 및 그 방법(APPARATUS AND METHOD FOR DETERMINING IMPLANT PROSTHETIC OPTION USING MACHINE LEARNING MODEL),"A61C 13/00, G06N 20/00, A61C 9/00, G06N 3/08, G06T 1/00, G06T 17/00",N/A,N/A,1020220180249 (2022.12.21),N/A,N/A,"임플란트의 보철 옵션을 결정하는 방법으로, 임플란트 고정체 영역이 포함된 임플란트 이미지를 획득하는 단계, 제1 머신러닝 모델을 통해, 임플란트 이미지에 기반하여 임플란트의 제조사를 식별하는 단계, 제2 머신러닝 모델을 통해, 임플란트 고정체 영역에 기반하여 임플란트 고정체의 세부 규격을 추정하고, 세부 규격에 대응하는 임플란트 모델을 식별하는 단계, 데이터베이스를 참조하여, 임플란트 고정체의 상부 직경에 대응하는 보철 옵션을 결정하는 단계를 포함하는 것을 특징으로 한다."
거절,머신러닝을 기반으로 데이터를 분석하는 프로그램을 생성하기 위한 방법(Method for generating a program that analyzes data based on machine learning),"G06F 8/36, G06N 20/00, G06F 11/36",N/A,N/A,1020170000830 (2017.01.03),N/A,11,"본 발명은 데이터를 분석하는 프로그램을 생성하기 위한 방법에 관한 것으로, 샘플 데이터를 수신하고, 상기 샘플 데이터에 포함된 변수들 중에서 입력 변수와 타겟 변수를 선택하고, 복수개의 머신러닝 알고리즘 중에서 데이터 분석에 사용할 머신러닝 알고리즘을 적어도 하나 선택하고, 상기 샘플 데이터를 트레이닝 세트와 검증 세트로 분류하고, 상기 트레이닝 세트를 상기 선택된 머신러닝 알고리즘에 적용하여 학습하여 입력 변수에 따른 타겟 변수값을 산출하는 실시간 모듈을 생성하고, 상기 검증 세트를 이용해서 상기 실시간 모듈을 검증하고, 상기 검증된 결과를 보고하고, 상기 선택된 머신러닝 알고리즘과 상기 실시간 모듈을 적용한 재사용 가능한 프로그램 모듈을 생성한다."
등록,"VNIR 스펙트럼과 머신러닝 기반 갓, GM유채, 일반 유채 및 갓 GM유채 간 교잡종 판별 방법 및 시스템(Method and system for identification of B. juncea, GM B. napus, B. napus and F1 hybrid between B. juncea and GM B. napus using VNIR spectrum based on machine learning)","G06Q 50/02, G06Q 50/10, G06N 20/00, G01N 21/359, A01H 6/20",N/A,N/A,1020210182689 (2021.12.20),N/A,N/A,"본 발명은 VNIR 스펙트럼과 머신러닝 기반 갓, GM유채, 일반 유채 및 갓 GM유채 간 교잡종 판별 방법 및 시스템에 관한 것으로, 본 발명에 따른 VNIR 스펙트럼과 머신러닝 기반 갓, GM유채, 일반 유채 및 갓 GM유채 간 교잡종 판별 방법은, 데이터 수집부가 근적외선 분광분석기를 사용하여 갓, GM유채, 일반 유채 및 갓 GM유채의 식물체의 가시광선 및 근적외선 대역의 스펙트럼을 측정한 결과로 구성되는 데이터를 수집하는 데이터 수집 단계; 데이터 전처리부가 상기 측정된 스펙트럼의 데이터를 전처리하는 데이터 전처리 단계; 및 데이터 마이닝부가 머신러닝 알고리즘을 이용하여 상기 전처리된 스펙트럼의 데이터를 분석하여 상기 GM유채, 일반 유채 및 갓 GM유채의 식물체의 교잡종을 판별하는 데이터 마이닝 단계;를 포함하여 구성된다."
공개,머신러닝 프로세스 자동화 방법 및 그 장치(Automatic processing method and apparatus for machine learning),"G06N 20/00, G06N 5/02",N/A,N/A,1020210163624 (2021.11.24),N/A,N/A,"머신러닝 프로세스 자동화 방법 및 그 장치가 개시된다. 머신러닝처리장치는 데이터세트를 선택받고, 데이터처리기능의 서로 다른 조합으로 구성된 복수의 전처리히스토리 중 데이터세트의 포맷과 동일한 포맷의 처리에 사용된 전처리히스토리를 파악하고, 파악된 전처리히스토리의 데이터처리기능을 이용하여 데이터세트를 전처리한 후 이를 머신러닝의 학습데이터로 입력한다."
