일시,댓글내용,좋아요,싫어요
2024.07.17. 10:18,금천구 독산동 독산역1번 출구 앞에 위치한 조여사네 식당 추천합니다. 저 단골이예요 현재기준으로 김치찌개 5000원이구요 다른 메뉴도 대체로 다 저렴합니다. 국내산 생삼겹 13000원이구요. 무엇보다 소주 한병 3000원입니다. 심지어는 김치가 맛있어서 다 맛있습니다. 이런 식당은 흥해야 합니다.,2,0
2024.07.17. 09:22,민주당 지지자들 많이들 가슈. 저렴한거 드시고 민주당비 내시고 털보에게 슈퍼쳇 쏘시고. 재명이 후원하쇼.,2,0
2024.07.17. 02:04,삼계탕 2만쳐받는 업소 여기보고 반성좀쳐해라!,2,0
2024.07.16. 22:19,가격올리기만하고 절대 가격내리는거 못봤다,2,0
2024.07.16. 22:05,이런글보면 월급200받고 있는 월급쟁이에게 500만원받는 사람처럼일하는 근로자 아주 좋은 근로자라 칭찬하는거 같음 .. 이게 각자의 직업입장에서 맞는소린가 생각좀 해봤으면한다 당신들은 200받고 500받는 사람처럼 일하는지,2,0
2024.07.16. 19:58,요즘 음식장사치들 가격 쳐 올리는 바이러스에 감염댔는데 백신이 음네,2,0
2024.07.16. 20:36,"예수님께선 그리스도이시며 길이요 진리요 생명이십니다 예수님께선 부활이요 생명이십니다
 예수님께선 구세주이심을 선포합니다",4,3
2024.07.17. 10:30,"설렁탕 9000원이면 평범한건데, 기사까지 써줬대? 광고냈나?",1,0
2024.07.17. 10:26,평양 북돼지 인민일보가 경동시장 식당은 어쩐일로,1,0
2024.07.17. 10:17,"가성비 좋은 음식점 널리 알려져서 이런 사장님들은돈 좀 벌게 했으면 좋겠습니다.
서산에 못난이 호떡집도 호떡이 한개에 천원.
맛도 얼마나 좋은지요. 
유명한 호떡집들 이천원씩. 마트 앞 호떡들은
두개에 오천원인데도 줄서서 먹는데 맛도 없고 딱딱하고.
못난이호떡이 훨씬 맛있다.
가성비 좋은 음식점 널리 널리 알려지길 바랍니다~",1,0
2024.07.17. 09:56,1인분 13000원 15000원하면서 장사안된다고 징징거리지마라ㅋㅋㅋㅋ,1,0
2024.07.17. 09:55,우리동네 음식점은 왜 그리 비싼거지? 청와대출신 요리사가 음식만드나?,1,0
2024.07.17. 09:46,각 지자체가 이런 일에 동참하고 국민들은 이런 곳을 찾아 돈쭐쏘면 여타 인근 가게들 현실에 맞게 다 가격 내린다.....,1,0
2024.07.17. 09:34,경동시장 칼국수 예전에 1500원인가 2500원인가 할때 갔었는데... 여전히 저렵하네여~,1,0
2024.07.17. 09:12,아무리 싸고 좋은 식당도 내 집과 내 직장 근처가 아니면 왕복차비 들여서 저런데까지 찾아갈 일이 없음.,1,0
2024.07.17. 06:47,이런 기사가 국내산 싱싱하고 좋은 재료로 밥상 차려주려는 자영업자 분들 맘아프게 합니다.,1,0
2024.07.17. 06:04,출장후ᆢ부천 도당동 소공원 사거리의 갈치찌개집에 갔는데ᆢ콩국수ㆍ항그릇에 1만원이고ᆢ갈치찌개는 1만2천원ᆢ/ 2천원 차이~~콩국수에 금가루 뿌리나ᆢ,1,0
2024.07.17. 04:34,‘갯마을낙지집' 대박 나시오!,1,0
2024.07.17. 04:06,그 많은  사교육비   등록금내고  대학졸업하고  취업해도  밥한끼 먹는데 부담을  가져야하는  나라.,1,0
2024.07.17. 02:24,스팸 구워서 계란이랑 해서 도시락 만들고 1만원 받는 곳들. 그리고 힘들다고 폐업하는것들 보면 참.......,1,0
2024.07.17. 01:28,저러한 착한 가격인 가게 들은 늘 집 근처에는 없음 ㅠ 집 근처라면 매번 사먹을 수 있을텐데 하는 아쉬움,1,0
2024.07.17. 00:07,이가격에도 먹고살고 돈버는데....  일반식당 1만원짜리는  뭐냐. 왜 엄살떠냐??  도둑 <><넘>>들..,1,0
2024.07.16. 23:36,가지 못하지만  저런집에  자주가줘야  합니다~~~,1,0
2024.07.16. 22:56,최저임금은올려다라 물가 재료값다오르는데식당 값올리는건싫다??그냥 사먹지마 그지근성들아,1,0
2024.07.17. 03:10,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.16. 22:34,일부품복은1000원~2000원올려도 괜찮은것 같습니다  사장님 착한음식에   감사합니다,1,0
2024.07.16. 22:19,"값만비싸고 맛도나쁜집많다저런집은 많이 흥해라
우리동네도6000 원짜리찌개집있다
맛도엄척좋다",1,0
2024.07.16. 22:12,복받으실겁니다...대대손손...,1,0
2024.07.16. 21:55,ㅋㅋㅋㅋ 저기 다 가봤다 경향이 소개하는 싸구려 음식점은 무조건 거르겠습니다 ㅋㅋㅋ,1,0
2024.07.16. 21:55,우리 동네 칼국수는 기본이 만원이다! 민생은 폭망인데...물가는 지멋대로 올림.,1,0
2024.07.16. 21:53,저런집은 대부분 건물이 자기꺼 아니면 사장님들이 진짜 열심히 하는곳임 쉬는날도 거의 못봤음,1,0
2024.07.16. 21:30,가고싶다,1,0
2024.07.16. 21:17,"정치하는 사람들이 표 받아 먹으려고 국민들 선동해서 허파에 바람만 잔뜩 넣어 넣었으니, 사회적 약자가 단체를 조직해서 회사를 상대로 업무 방해를 정당화 하다니 ㅡ 인건비와 물가 인상에도 저렇게 남아준 가게는 나라에서 표창이라도 해주자",1,0
2024.07.16. 21:15,"저 3곳중에서 제가 최근에도 갔었던 식당이 있는데, 점심 미끼 메뉴 말고 다른 메뉴를 드시려면 실제 가격을 미리 확인해 보고 가시기 바랍니다. 저녁 식사 모임을 그곳에서 가졌는데 가격이 결코 싸지 않고 손님이 주문한 메뉴를 마다하고 매상 좀 올려달라며 주인이 자기가 권하는 메뉴를 시키도록 유도하더군요. 같이 있는 사람들 때문에 그냥 참았지만 기분은 좋지 않았습니다.",1,0
2024.07.16. 21:03,돈으로 혼내줍시다.^^고~~~~~~~,1,0
2024.07.16. 20:58,홍두깨칼국수 !  칼국수도 좋고 돌솥비빔밥도 맛있다!  뭐 하나 맛이 없는게 없고 거기에 테이크아웃과 카드결재까지!  웨이팅 안하시려면 11시 30분전까지 가야 겨우 잡을수 있으니 소문내지 말고 조용히 다녀오세요! ?경동시장 요즘 핫플레이스이네요!!!  🥰,1,0
2024.07.16. 20:49,요즘에 이런 식당이 있다니  세상에 이런일이네~,1,0
2024.07.16. 20:45,기본김밥 한줄에 3800원....진짜 살기 힘듦,1,0
2024.07.16. 20:29,사장님화이팅. 힘네세요,1,0
2024.07.16. 20:37,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.16. 20:01,다른 건 몰라도 냉면 가격은 원가 대비 완전 거품이다... 불매해서 가격 좀 내리자,1,0
2024.07.16. 20:00,국민소득 비례  이게 정상적인 가격이지 개한민국 물가  비싸도 너무 비싸,1,0
2024.07.16. 19:34,"싸게 팔면,,  재료에 대한 의심부터 하고,, 진상들만 꼬이기 때문에,, 그냥 비싸게 파는게 속편하다.",1,0
2024.07.16. 19:30,중국산 고추가뤼 !!  암세포 증식에 결정타,1,0
2024.07.16. 19:28,전 맛집이라고 해도 중국 김치는 놉!!!!!,1,0
2024.07.16. 18:53,오늘 저녁도 라면임,1,0
2024.07.16. 18:48,아..칼국수 집이나.. 토성옥은 저가격에. 장사하시기에 얼마나 고될까...,1,0
2024.07.16. 18:40,종로5가쪽에도 저렴한 식당많아요 맛집도 많고.,1,0
2024.07.16. 17:33,저게 4000원??,1,0
2024.07.16. 17:19,"토성옥, 홍두깨 칼국수 둘다 맛집임... 토성옥 옆에 백종원3대천왕나왔던 갈비집도 맛집",1,0
2024.07.16. 17:09,헉 홍두께 내일부터 앉을자리가 없겠네.. ㅠㅠ,1,0
2024.07.16. 21:56,비상식적으로 싼 가격에 환호하고 그게 정상이다 돈쭐을 낸다 오만 헛소리를 시전하시는 녀석들아. 니들 파는 거랑 니들 하는 일 월급이랑도 그럼 니들 말대로의 정상을 한 번 해봐 . 입만살아가지고서는 가짢아 죽겠다.,4,4
2024.07.17. 01:53,읽다보니 웃기네 ㅋㅋ  그래 맨위에 4000원칼국수 5000원제육덮밥은 그렇다치자 낙지비빔밥이 만원 설렁탕이 9000원이 싼거야?그냥 맛집홍보인거지?가성비는 모르겠고,2,2
2024.07.16. 19:05,댓글들 보면 답 나오자나.음식점을 떠나 모든 장사는 파는 가격따라 손님들 수준이 달라짐.음식값 싸다고 감사해 할줄알지??사업들 해봐 뭐든.인간들이 어떤건지 깨달게 됨.체인빼고 오래 장사한 대다수 업주들이 굳이 저가장사 안하는 이유.그지근성 장난없다는거.,2,2
2024.07.17. 10:14,이게 다...문재앙이 최저임금을 올려서 인플레가 와서 그런거지......소득주도성장이라는 허울아래....무조건 임금만 올리면...전부다 돈이 많이 돌고 다 잘살거라고 떠들었던거지...마치 공산주의만 되면 다 평등하게 잘 살거라는 보랏빛 헛된희망을 심어주는 거와 비슷한 현상이지...서민들을 더 힘들게 만든게 바로 저 정책이지.....ㅉㅉㅉㅉㅉㅉㅉㅉㅉㅉㅉㅉ,1,1
2024.07.17. 09:58,아직도 우리동네 중국집은 짜장이 4천원입니다. 다만 매장에서 식사하고 현금결제...그래도 좋다,1,1
2024.07.17. 05:47,공산당 언론 경항 기자  ㄱ셕히 돈 많이 받아처먹고 ㄱ소리 써놨네~만윈짜리가 착하다고??,1,1
2024.07.16. 23:21,냉면 삼계탕 2만원씩파는 가게들 각성하라,1,1
2024.07.16. 21:45,"한그릇에 15.000원 받으면서 장사안된다고,  최저임금 동결해라고 외치는 악덕주들아....보고 느껴라.",1,1
2024.07.16. 20:38,니가해라 장사,1,1
2024.07.16. 20:02,물가 올랐다고 음식값 떄려받는집들은가지말아야,1,1
2024.07.16. 19:48,홍두깨 쏜 칼국수 맛있지.,1,1
2024.07.16. 19:37,중국 김치는 아닙니다.,1,1
2024.07.16. 18:05,이런 집은 돈쭐. 내야죠,1,1
2024.07.17. 10:38,지방 혁신도시에 맛도 별로 없는데 가격만 비싼 식당 천지다 갈만한 곳이 별로 없다~!!,0,0
2024.07.17. 10:37,광장시장은 개비싸게 쳐받던데.경동시장 가야겠네,0,0
2024.07.17. 10:34,"좌파짜라시는 시장골목 찌라시음식이 표준인 줄 아는가? ... .. 아직도 6,70년대 배곯은 시절인 줄.",0,0
2024.07.17. 10:31,경제가 너무 안좋아서 비싼 데는 사먹지도 않더라,0,0
2024.07.17. 10:29,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.17. 10:26,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.17. 10:25,"저게 다 마케팅홍보지길거리폐지 노인들한테 라면공짜?

그게 소문나서 돈쭐이 나는게 목적이지
그게 현실이야",0,0
2024.07.17. 10:24,이런거 올리지 마요. 이러면 진상들 몰려들어서 가게 주인도 손해보고 결국 음식 가격 올라감. 이미 여러 사례가 기사와 유튜브에 올라왔어요. 알던 사람들이나 소소한 즐거움 누리게 올리지 마요,0,0
2024.07.17. 10:23,프랜차이즈점들이 비쌀수밖에... 개인이 하는 음식점이 진짜 음식점이지.. 점점 찾아 보기 힘들어질뿐..,0,0
2024.07.17. 10:21,줄 많이 서겠네...,0,0
2024.07.17. 10:20,감사드립니다,0,0
2024.07.17. 10:17,"경동시장 칼국수 예전에 갔는데, 가성비에 종업원들 친절하고 인상도 좋았음 ㅎ",0,0
2024.07.17. 10:18,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.17. 10:10,지방도 좀 따라해라~  이느므  소상들,0,0
2024.07.17. 10:04,울동네는 위생이 그닥,0,0
2024.07.17. 09:54,저런 식당들이  많아 져야되는데...아쉽습니다.,0,0
2024.07.17. 09:53,왜 주변엔 저런가게가 없는거야,0,0
2024.07.17. 09:53,"재료값, 인건비 보다 월세와 프랜차이즈 수수료, 사업주의 욕심이 합쳐진 물가인상으로 보인다.",0,0
2024.07.17. 09:45,카드 거부하는 시장은 아무리싸도 안가게되더라,0,0
2024.07.17. 09:41,첫번쩨 사진 칼국수옆 김치는 중국산 100%,0,0
2024.07.17. 09:46,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.17. 09:37,뉴스에 나는 걸 보니 경동시장도 좀 있으면 광장시장 꼴 나겠네,0,0
2024.07.17. 09:32,어떻게 저 가격이 나올까....,0,0
2024.07.17. 09:30,옆 앞에 홍두깨 손칼국수랑 좀 떨어진 홍두깨 칼국수 중에 어느곳인가요? 헷갈리네,0,0
2024.07.17. 09:28,보나마나 현금만 받겠지,0,0
2024.07.17. 09:27,싸면 그지떼처럼 모이는 그지근성. 언제나 사라지나,0,0
2024.07.17. 09:20,최저시급 타령할때 장사에나 신경써라,0,0
2024.07.17. 09:20,"비빔밥은 한 그릇에 1만846원, 짜장면 7223원, 칼국수 9154원, 냉면은 1만1692원을 기록했다.이렇게 높은가격으로 장사를하면 앞으로 사람들은 외식을 더줄일거고 그럼 장사가 더안될겁니다.
칼국수4,000원,순대국3,900에파는 가게들은 힘들지만 손님이많아서좋고 이윤이 많지않지만 운영비와 인건비주고도 괜찮다고합니다. 근데 착한가게들의 2배가격으로 음식을파는 가게들은 오히려 힘들다그러고 음식값을 더올리려그러니 망할수밖에 없는겁니다.",0,0
2024.07.17. 09:18,미이친 소리 하네.4천원도 비싸다..,0,0
2024.07.17. 09:18,심지어 김치도 국산 같은데 ㄷㄷㄷㄷ,0,0
2024.07.17. 09:17,많이 팔아줘야 돈 벌텐데 ㅎㅎ,0,0
2024.07.17. 09:16,헐 요즘 칼국수 9000천원 하는데 여긴 너무멀어서,0,0
2024.07.17. 09:05,가격올리고  퀄리티  양 줄이면  이중폭리  아니니?  왜 그러냐.,0,0
2024.07.17. 09:05,사실 먹거리 폭등은 재료값이 아니라 인건비와 임대료 폭등이었지,0,0
2024.07.17. 09:00,"가짜 음식, 가짜 가격이 너무 많은 요즘인데, 정말 한 끼 드시러 오시는 손님을 생각하는 가게들은 오래 갔으면 좋겠어요. 건강하세요 사장님.",0,0
2024.07.17. 08:59,"저런집들은  광고도 잘 안함 
원가 계산도 잘 안함 

꼭 원가 계산도 잘 하는 사람들이  재료 원가 조금 올리면 거기에 10배 판매가 올리지",0,0
2024.07.17. 08:58,물가 오른다는 핑계로 기회다 싶어 가격 마구 올리는 거지~,0,0
2024.07.17. 08:55,이게 정상이야. 물가 탓하고 올리기만 하는 장사치들 반성해라.,0,0
2024.07.17. 08:53,이런기사 내리시오 유명세타면 광장시장같이사기꾼 상인됩니다,0,0
2024.07.17. 08:49,이런집이 많이 유지되길 기원,0,0
2024.07.17. 08:47,이 기사를 광장시장 사기꾼 상인들이 싫어합니다. 에구~~~저걸 4천원 받다니~~우리들이였으면 만원에 팔았을텐데~~,0,0
2024.07.17. 08:42,그냥 집에서 해먹어,0,0
2024.07.17. 08:41,팔아도 남는게없으면 접어...징징대지말고,0,0
2024.07.17. 08:40,울 동네 쌈마이대패는 삼겹살대패+된징찌게/우렁쌈장+반찬구이류24가지주는데 12000원이면 갓성비아닌가?,0,0
2024.07.17. 08:40,"야, 서울 경동시장에 있는 ‘홍두깨 칼국수집 꼭 한번 가보겠습니다  서울가면은 꼭 가겠습니다. .",0,0
2024.07.17. 08:39,낙지비빔밥 만원이 싼건가요? 그냥 적당한 가격인데 이해불가,0,0
2024.07.17. 08:38,이게 원래 가격이다 대박나길 빕니다,0,0
2024.07.17. 08:38,3개월도 너무 길다,0,0
2024.07.17. 08:33,싸긴 뭘 싸냐.  고기도  질기지..  저품질 고기냉동된거  몇킬로에  5000원도  안해..,0,0
2024.07.17. 08:31,칼국수  원가  600에서 800원.  4000원에  먹느니  3000원  더 내고  공단 한식부페  먹지.  한식부페는 고기에  야채에   라면에  계란후라이에  너무 푸짐하다..,0,0
2024.07.17. 08:26,우리나라 식자재물가  세계 2위 ㅠㅠ   이돈으로 집에서 만들어 먹을수 있나?  마음이 약해서 가격을 올리지 못하시는 분들인데 이분들이 표본이고 본 받아야된다면 웤급 100 만원받고 하루 12시간 365일하는 노동자는 칭찬 안해주고  노동착취라고 하는지 ᆢ 둘다 적게 받고 죽도록 일만하는데 ᆢ,0,0
2024.07.17. 08:22,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.17. 08:18,듣고있나? ㄱㅈ시장? ㅋㅋㅋㅋㅋㅋㅋㅋ위생도 안지키고 더럽고 터무니없는가성비에 사람 다 나가떨어지고 ㅋㅋㅋ,0,0
2024.07.17. 08:15,그래서 편의점 도시락이 잘나감.,0,0
2024.07.17. 07:59,3천원이면 살 김밥을 5천원에 판매하는거 보고 물가오르는거 무서웠다. 지금이 가성비 음식 나오면 대박날듯...,0,0
2024.07.17. 07:58,칼국수까지는 인정 그밑으로는 그냥 광고인듯.,0,0
2024.07.17. 07:53,오랫동안 해주세요 감사합니다,0,0
2024.07.17. 07:50,요즘은 중국산김치에 길들여져서 저런걸 먹어도오름,0,0
2024.07.17. 07:45,요새 다시 주변에 무한리필이나 저렴한 식당들이 생겨나고 있다.경기가 어렵다는게 제일 먼저 외식문화로부터 체감되는게 현실인가봄 ㅠㅠ. 점점 더 잘사는 사람은 잘사게 되고 못사는 사람들은 더 어려워지는 세상..,0,0
2024.07.17. 07:44,저렇게 착한 가격이 나오려면 먼저 착한 임대료이거나 건물주여야 가능!!,0,0
2024.07.17. 07:43,"아런기사쓰지마세요자세히들여다보시고 말씀하셨으면합니다
여러조건이 맞아들었을겁니다
그렇게팔아서  하루에몇그릇이나팔아야하나요
혼자서장사해야가능하다고봅니다 새벽부터~노동시간도따져봐야할겁니다 직원을한명쓰면 어떤구조로변하는지아셔야 할겁니다 보통상권에서 이런가격으로팔수있을까요 이글을보고좋아요하시는분들 이가격으로장사하실수있나요 이분은거의봉사수준으로일하실겁니다 이부분은제가잘몰라서섯불리말씀을드릴수는없지만^^아시는분댓글부탁합니다 전혀악의로쓴글은아닙니다 저도13년을장사를하고있지만 이해가되지않아서드리는글입니다",0,0
2024.07.17. 07:42,"칼국수집 어르신들 줄서는 맛집이예요, 선불이라 4천원 내면서 한번 놀라고 옛날 할머니가 해주시던 맛 그대로라 한번 더 놀라요.",0,0
2024.07.17. 07:36,토성옥은 왜?,0,0
2024.07.17. 07:29,칼국수가 4천원이면 가성비가 좋네요.,0,0
2024.07.17. 07:28,칼국수 8~9천원 하는데 수두룩하다. 너무 비쌈 자영업자들 힘든거 알지만  차별화없는 영업은 결국 폐업입니다.,0,0
2024.07.17. 07:24,메뉴판만보면 90년대로 돌아간 기분이네 ㅎ,0,0
2024.07.17. 07:18,고마운 식당이네…가격만 봐도 마음을 알수가 있네ㅠ,0,0
2024.07.17. 07:17,가격이 싸면 착하다착하다 헐. 제돈주고 먹어라,0,0
2024.07.17. 07:17,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.17. 07:13,이런 착한 가게들이 대박하길...응원합니다,0,0
2024.07.17. 07:13,"제주도 아기 손바닥 만한 회가 5만원, 비계삼겹살 20만과 비교 된다...................",0,0
2024.07.17. 07:11,최저시급 만원까지 쳐올린 재앙이 때문에 이런 기사도 나네. 그니까  지금도 4천원에 팔아도 남는게 있다는건데 지금 외식 물가는 인건비땜에 뻥튀기가 엄청 됐다는 소리임. 원자재값 올라서 그렇다는건 다 개소리. 라면값만봐도 십년동안 뭐 백원올랐나?ㅋ임대료도 마찬가지. 근데 음식값은 거의 두배올랐지. 인건비 배달비때문임. 자영업자 소비자 둘다 죽자는건데 모자란 애들은 그저 시급올려달라 발광해대니ㅉㅉ,0,0
2024.07.17. 07:07,칼국수를 만원씩 받는거는 폭리다. 밀가루 장사 많이 남는거 뻔히 아는데,0,0
2024.07.17. 07:04,착한가게일쎄~,0,0
2024.07.17. 07:01,빵값 보다 더 싸구만 뭔 엄살들을..솔직히 서울 맛집이라고 줄 서 있는곳들 진짜 맛없더라 임대료 빼면 뭐가 남아서 싸게 팔겠냐 그러니 음식에 들어간것도 없고 가격를 자꾸 동결하면 양질에 음식이 될수가 없지..비싼 만큼 들어간거 많고 국물도 해물맛으로 시원하더라 맛을 찾아 떠나라 뭔 가격 운운하냐,0,0
2024.07.17. 06:46,저렇게 저렴한 음식점갈때는 양심것 현금들고가자!!  저렴하게 먹고 카드들이밀면 쪽팔릴거같음,0,0
2024.07.17. 06:41,"그런데, 냉면 12000원 받으면 강도아닌가?",0,0
2024.07.17. 06:37,요리 솜씨가 없으니 맛도 없고 정성은 커녕  위생도 엉망인데 가격은 올려받고 싶어하니  망해서 폐업하는 건 당연한 순리. 거기다 요즘은 내돈 내고 사먹는데 셀프는기본. 알바들은 잡담하고 핸드폰 하고 있는 데도 ㅋㅋㅋ 진심 저런 데가 잘되야 한다. 저런 데는 셀프 서비스해도 인정,0,0
2024.07.17. 06:30,"배달비가 3,000원인데 ~",0,0
2024.07.17. 06:21,헉! 또누가찾아오겠는데?,0,0
2024.07.17. 05:50,가보고싶다,0,0
2024.07.17. 04:32,재료비 인건비야 대동소이 할꺼고. 임대료 영향이 크지 싶다,0,0
2024.07.17. 04:06,다른 식당 한푼이라도 가격 올려서 판매 하려고 하는데 대단합니다 기자님 👍,0,0
2024.07.17. 03:47,"젊은 사람들 또 몰려가서 줄서게 하지말고, 어르신들 장 보시고 편히 식사하실 수 있게 하자. 낭만이니 감성이니 난리피지 좀 말고..",0,0
2024.07.17. 07:02,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.17. 03:32,정부는 뭐하냐 서민은 물가고에 죽을맛인데 없는것보다 못한 정부,0,0
2024.07.17. 03:13,죽도시장 칼제비 5천원 곱배기추가요금없음,0,0
2024.07.17. 02:40,이런집들은 사장께서 많이 움직이고 음식에 진심인 분들이 하는곳/ 비싼집은 주인은 탱자탱자 이모들 한가득. 놀고 있으면서도. 거동불편한 노인들이 물찿아도 셀프라고~,0,0
2024.07.17. 02:23,비싸게  받는 집들  기사 올릴게 아니고 ᆢ이렇게  싸게 장사  잘되는 집  기사를  좀  많이 올려라,0,0
2024.07.17. 02:20,식자재 출처 어딘지는 왜 안적었을까.. 중국산 아니면 저 가격 못나온다. 굳이 찾아 가서 먹을 수준은 아닌걸로...,0,0
2024.07.17. 01:59,이게 정상가격이다ㅋ,0,0
